p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,diff_e_feature
2.89E-90,1.813446801,1,1,8.39E-89,2,Upstroke.to.downstroke.ratio
1.09E-79,0.629964099,1,1,3.15E-78,2,AP.width..ms.
5.37E-73,13.8020246,1,1,1.56E-71,2,ISI.average.adaptation.index
5.59E-73,239.1132099,1,1,1.62E-71,2,Latency....20pA.current..ms.
1.67E-54,0.291184359,0.89,0.342,4.85E-53,2,Burstiness
2.81E-33,61.51320989,1,0.993,8.16E-32,2,Rheobase..pA.
1.25E-90,19.94583257,1,1,3.62E-89,3,Max.number.of.APs
6.35E-65,1.473879944,1,1,1.84E-63,3,Afterhyperpolarization..mV.
2.07E-07,7.665994396,1,1,6.01E-06,3,Latency..ms.
3.94E-58,8.711552188,0.823,0.27,1.14E-56,4,Sag.area..mV.s.
1.46E-57,0.259168286,0.823,0.27,4.25E-56,4,Sag.time..s.
1.76E-52,5.681780648,0.99,0.959,5.10E-51,4,Rebound..mV.
2.62E-47,7.685750996,1,1,7.61E-46,4,Membrane.time.constant..ms.
5.14E-22,0.59297112,0.271,0.058,1.49E-20,4,Afterdepolarization..mV.
7.41E-21,3.812996164,0.33,0.091,2.15E-19,4,Rebound.number.of.APs
2.40E-08,3.034337741,1,1,6.95E-07,4,AP.threshold..mV.
0.000148489,0.430082712,1,1,0.004306175,4,AP.Fano.factor
0.006051209,0.893320145,1,1,0.17548506,4,Afterhyperpolarization..mV.
6.36E-09,2.217782598,1,1,1.84E-07,5,Resting.membrane.potential..mV.
0.009018571,2.315253749,1,1,0.261538565,5,AP.Fano.factor
